grade,term_num,purpose,n,ead,avg_pd,avg_intrate,std_intrate,n_intrate,el_premium,el_12m_model,el_12m_l1,r_req_raw,above_pricing_cap,r_req,pricing_gap,approx_gap_ci_low,approx_gap_ci_high,ci_reliable,sig_reprice,sig_grow,bucket,ec,raroc
A,36.0,car,2245,11535787.29,0.022315238848237686,0.06893410500492156,0.009676376714231336,2245.0,0.020112724773916627,232016.11481421554,236334.96448201124,0.08011272477391664,False,0.08011272477391664,-0.011178619768995077,-0.0115788894416433,-0.010778350096346853,True,True,False,Reprice,1055524.5370349998,0.04176371837163853
A,36.0,credit_card,59181,554328790.81,0.023040417459659967,0.0690239813699757,0.009819848798735258,59181.0,0.020766328256391527,11511373.63192905,11870573.334763896,0.08076632825639153,False,0.08076632825639153,-0.01174234688641583,-0.01182146241648134,-0.01166323135635032,True,True,False,Reprice,50721084.359115,0.0356027662686794
A,36.0,debt_consolidation,82255,838613323.61,0.027475195521468425,0.07031751354680763,0.009610975021760334,82255.0,0.02476339372349949,20766911.91432692,21366436.600862075,0.08476339372349949,False,0.08476339372349949,-0.014445880176691864,-0.014511560364541265,-0.014380199988842463,True,True,False,Reprice,76733119.110315,0.006055954353094338
A,36.0,home_improvement,14425,122433242.34,0.02311576373514891,0.06774436142091898,0.009873926593854877,14425.0,0.020834237854489714,2550803.292207941,2618740.186474432,0.08083423785448972,False,0.08083423785448972,-0.013089876433570735,-0.013251007794169475,-0.012928745072971995,True,True,False,Reprice,11202641.674110001,0.020875667392669578
A,36.0,house,1525,15395037.25,0.027165544396221843,0.06820560248574087,0.00939202809141315,1525.0,0.024484305164314747,376936.79004499293,383047.101997176,0.08448430516431475,False,0.08448430516431475,-0.016278702678573884,-0.016750084198110804,-0.015807321159036963,True,True,False,Reprice,1408645.9083749999,-0.01397489266200971
A,36.0,major_purchase,4457,33485360.24,0.02672242068296245,0.06885921731867659,0.009543881392814391,4457.0,0.024084917761554057,806492.147596412,832477.3866200179,0.08408491776155406,False,0.08408491776155406,-0.01522570044287748,-0.015505889911409526,-0.014945510974345433,True,True,False,Reprice,3063910.46196,-0.002466671506857592
A,36.0,medical,2327,13043872.32,0.03135205474017059,0.06950772197485136,0.009401568684317425,2327.0,0.02825760693731575,368588.6169590929,372006.6955081784,0.08825760693731576,False,0.08825760693731576,-0.018749884962464394,-0.01913187340455179,-0.018367896520377,True,True,False,Reprice,1193514.31728,-0.04098234931655069
A,36.0,moving,886,5170181.7299999995,0.04004889106797365,0.06969149015302313,0.009361744062442563,886.0,0.03609606551956465,186623.2184741361,185708.67507231105,0.09609606551956466,False,0.09609606551956466,-0.026404575366541533,-0.027021011366993683,-0.025788139366089383,True,True,False,Reprice,473071.62829499994,-0.12464016794034458
A,36.0,other,10222,71193613.51,0.02771777035937824,0.06964530628178575,0.009176611995511428,10222.0,0.02498202642490761,1778560.7339914795,1818045.0113398083,0.08498202642490761,False,0.08498202642490761,-0.01533672014312186,-0.015514614643486552,-0.015158825642757168,True,True,False,Reprice,6514215.6361650005,-0.0036800015641733443
A,36.0,renewable_energy,75,673643.89,0.032278350332299505,0.06806507793539993,0.009841408563946651,75.0,0.029092477154501542,19597.96948009455,19824.986904892037,0.08909247715450154,False,0.08909247715450154,-0.021027399219101614,-0.023254678725937034,-0.018800119712266194,True,True,False,Reprice,61638.415935,-0.06587321550930737
A,36.0,small_business,1446,17044664.57,0.04041766479019861,0.06916921257221872,0.00949643898046478,1446.0,0.036428441275406,620910.5623472383,639925.0880848977,0.09642844127540601,False,0.09642844127540601,-0.027259228703187283,-0.027748697179259124,-0.02676976022711544,True,True,False,Reprice,1559586.808155,-0.1339806415648883
A,36.0,vacation,1234,4855995.08,0.032499203825445314,0.07045660846125368,0.009360727571957302,1234.0,0.029291532407873862,142239.53725829604,143860.46034920053,0.08929153240787387,False,0.08929153240787387,-0.01883492394662019,-0.01935720000423781,-0.018312647889002567,True,True,False,Reprice,444323.54982,-0.04191173712153219
A,60.0,car,99,1196651.3,0.020194584614441288,0.07693838767427982,0.004202618918246785,99.0,0.018201379112995932,21780.70397735943,20671.64235981996,0.07820137911299593,False,0.07820137911299593,-0.00126299143871611,-0.002090839249987292,-0.0004351436274449283,True,False,False,Hold / Monitor,109493.59395,0.1501312411069278
A,60.0,credit_card,6765,119344602.69,0.01684920359394348,0.073646187528097,0.008765056418971006,6765.0,0.01518618719922126,1812389.477667025,1792731.3260378689,0.07518618719922127,False,0.07518618719922127,-0.0015399996711242675,-0.0017488662274819933,-0.0013311331147665417,True,False,False,Hold / Monitor,10920031.146134999,0.1471038287308824
A,60.0,debt_consolidation,8548,159051228.67,0.018476195153060194,0.07488691956078039,0.007901576208634211,8548.0,0.01665259469145315,2648615.646219143,2581424.718562667,0.07665259469145316,False,0.07665259469145316,-0.0017656751306727725,-0.001933180821914987,-0.001598169439430558,True,False,False,Hold / Monitor,14553187.423305,0.1446374302658714
A,60.0,home_improvement,1210,19860439.51,0.016090049892297974,0.07673597690329378,0.0041428828645864125,1210.0,0.014501961967928164,288015.3384403579,269099.33623262175,0.07450196196792816,False,0.07450196196792816,0.0022340149353656247,0.0020005841881937797,0.0024674456825374697,True,False,False,Hold / Monitor,1817230.2151650002,0.1883498900039958
A,60.0,house,61,1205001.21,0.01601220646129147,0.07695628534824861,0.0035661370323269038,61.0,0.014431801683562003,17390.33849117225,16472.318932405626,0.074431801683562,False,0.074431801683562,0.0025244836646866053,0.0016295698735364073,0.0034193974558368034,True,False,False,Hold / Monitor,110257.61071499999,0.19152441163591924
A,60.0,major_purchase,285,4343965.71,0.017441065991055296,0.07634254489612426,0.004160168830087992,285.0,0.01571963277773814,68285.54576028652,63073.572500099304,0.07571963277773815,False,0.07571963277773815,0.0006229121183861097,0.00013992381136564147,0.001105900425406578,True,False,False,Hold / Monitor,397472.862465,0.17074220894411055
A,60.0,medical,124,1885985.49,0.02370698764187958,0.0764802730389151,0.0033347088690831913,124.0,0.021367107961626063,40298.055578890235,38825.65567642369,0.08136710796162606,False,0.08136710796162606,-0.00488683492271097,-0.005473776903047151,-0.004299892942374789,True,False,False,Hold / Monitor,172567.67233499998,0.11052639428731177
A,60.0,moving,21,361492.49,0.023265671956123866,0.07801659759635308,0.004902496934264846,21.0,0.02096935013405444,7580.262593641172,6881.395980187574,0.08096935013405444,False,0.08096935013405444,-0.0029527525377013586,-0.005049546582162792,-0.000855958493239925,False,False,False,Hold / Monitor,33076.562835,0.13166390669178846
A,60.0,other,360,6034590.4,0.019720178668610023,0.0760492069932019,0.0038479366483890405,360.0,0.017773797034018213,107257.58495303479,103243.65189505705,0.07777379703401822,False,0.07777379703401822,-0.0017245900408163206,-0.00212207871069868,-0.0013271013709339613,True,False,False,Hold / Monitor,552165.0216,0.1450864476413518
A,60.0,small_business,72,1427447.61,0.02451023157321719,0.07661832853339129,0.004164526915364457,72.0,0.022091071716940653,31533.847524685534,29557.240574436084,0.08209107171694066,False,0.08209107171694066,-0.005472743183549372,-0.0064346821466511606,-0.004510804220447584,True,False,False,Hold / Monitor,130611.456315,0.1041230253164004
A,60.0,vacation,11,151915.29,0.02842320299918556,0.07642893401015229,0.0030767160769531246,11.0,0.025617832863165945,3891.7405085793853,3592.426046996666,0.08561783286316595,False,0.08561783286316595,-0.00918889885301366,-0.011007088453181643,-0.007370709252845678,False,False,False,Hold / Monitor,13900.249035,0.06350930215285609
B,36.0,car,2253,10025766.67,0.04073650016876417,0.1057660905499815,0.010344621114237066,2253.0,0.036715807602107145,368104.12011933845,380700.5599809151,0.09671580760210714,False,0.09671580760210714,0.009050282947874355,0.00862313130226694,0.00947743459348177,True,False,True,Grow,988540.5936619999,0.2439176769561294
B,36.0,credit_card,50224,377230550.3,0.03907231311767812,0.10610331215604048,0.010546012717198123,50224.0,0.03521587581296329,13284504.212220602,13716349.861205837,0.0952158758129633,False,0.0952158758129633,0.010887436343077178,0.010795204532859454,0.010979668153294903,True,False,True,Grow,37194932.25958,0.2625500643314118
B,36.0,debt_consolidation,97149,765212122.55,0.0470011553752521,0.1067601277898879,0.010309482271166015,97149.0,0.04236214133971472,32416024.0903262,33566707.83339061,0.10236214133971473,False,0.10236214133971473,0.004397986450173169,0.004333157979007032,0.004462814921339306,True,False,False,Hold / Monitor,75449915.28343,0.19673414249668522
B,36.0,home_improvement,12891,82704761.71,0.04235030908165876,0.10592749960075877,0.010620107583131337,12891.0,0.03817033357529904,3156868.342736319,3282238.228727102,0.09817033357529904,False,0.09817033357529904,0.0077571660254597274,0.007573835955972982,0.007940496094946473,True,False,True,Grow,8154689.504605999,0.23080290086673155
B,36.0,house,1186,10432220.2,0.05377797510072033,0.1065684530361653,0.01000672601092719,1186.0,0.04847008895827923,505650.6411263575,506060.6780521683,0.10847008895827924,False,0.10847008895827924,-0.0019016359221139395,-0.002471141202626148,-0.0013321306416017309,True,False,False,Hold / Monitor,1028616.9117199999,0.13284344906578158
B,36.0,major_purchase,4464,26379809.68,0.04549809170688377,0.10610743421519103,0.010458538769924154,4464.0,0.041007430055414344,1081768.2003277421,1109803.5532889268,0.10100743005541435,False,0.10100743005541435,0.005100004159776683,0.0047932029917170105,0.005406805327836356,True,False,False,Hold / Monitor,2601049.234448,0.20385399756365818
B,36.0,medical,2745,11778334.59,0.05912316232013447,0.10651924717364397,0.010420053797541755,2745.0,0.0532877061991372,627640.4331470551,636548.5951414087,0.11328770619913721,False,0.11328770619913721,-0.006768459025493237,-0.007158263551876945,-0.006378654499109529,True,True,False,Reprice,1161343.790574,0.08348418838242155
B,36.0,moving,1332,5537959.17,0.06392620969558095,0.1070932208755072,0.010258942727822627,1332.0,0.05761669279862711,319078.89222922997,320404.00330284704,0.11761669279862712,False,0.11761669279862712,-0.01052347192311992,-0.011074404665872839,-0.009972539180367002,True,True,False,Reprice,546042.7741619999,0.0454008932746458
B,36.0,other,13669,71313925.87,0.04982093859627328,0.10669391991687131,0.010277518381107431,13669.0,0.04490361195682111,3202252.8543839864,3295255.991584246,0.10490361195682112,False,0.10490361195682112,0.001790307960050197,0.0016180148218507273,0.0019626010982496667,True,False,False,Hold / Monitor,7031553.090782,0.17028709898631028
B,36.0,renewable_energy,120,734838.96,0.05350941643395825,0.10952594736116852,0.009896775321522961,120.0,0.04822803703192657,35439.840575382404,36038.398332189216,0.10822803703192657,False,0.10822803703192657,0.0012979103292419525,-0.0004728149154533817,0.0030686355739372867,True,False,False,Hold / Monitor,72455.121456,0.16529320820732216
B,36.0,small_business,1757,15683385.36,0.0697516777459363,0.10706148336219488,0.010429617739110683,1757.0,0.06286718715241238,985970.3226105244,1023475.2820032646,0.12286718715241239,False,0.12286718715241239,-0.015805703790217507,-0.01629337891240662,-0.015318028668028394,True,True,False,Reprice,1546381.796496,-0.008171438034660309
B,36.0,vacation,1842,5804659.52,0.05261568340560899,0.1070668278313138,0.010690342759549184,1842.0,0.04742251545347538,275271.555789363,279615.87030156254,0.10742251545347538,False,0.10742251545347538,-0.00035568762216157956,-0.000843884399342465,0.00013250915501930582,True,False,False,Hold / Monitor,572339.428672,0.14852243790911163
B,36.0,wedding,2,14956.670000000002,0.04140197018629522,0.10892467866323907,0.011030865786510143,2.0,0.03731559572890788,558.1170511706847,660.3179873717131,0.09731559572890788,False,0.09731559572890788,0.011609082934331189,-0.0036786361450812377,0.026896802013743615,False,False,False,Hold / Monitor,1474.727662,0.26986899527719255
B,60.0,car,624,7977826.4,0.0308825502029401,0.10491064541666384,0.010809273627086504,624.0,0.027834442497909912,222058.35018910764,215305.8825187842,0.08783444249790992,False,0.08783444249790992,0.01707620291875392,0.016228092678624073,0.017924313158883765,True,False,True,Grow,786613.68304,0.3253164596222507
B,60.0,credit_card,22531,331053125.72,0.02555166919923462,0.10641565494910091,0.011289156030716313,22531.0,0.023029719449270163,7624060.608135565,7615737.065456897,0.08302971944927016,False,0.08302971944927016,0.023385935499830743,0.023238528083967952,0.023533342915693534,True,False,True,Grow,32641838.195992,0.38930969066765464
B,60.0,debt_consolidation,44159,730423809.41,0.02802811459156994,0.1077026917032615,0.01110089907973166,44159.0,0.025261739681381984,18451776.130398788,18116352.25572965,0.085261739681382,False,0.085261739681382,0.0224409520218795,0.022337414770760025,0.02254448927299897,True,False,True,Grow,72019787.607826,0.3797256797350862
B,60.0,home_improvement,6255,102380034.67,0.026161332176418594,0.10535908711098317,0.010734028686981855,6255.0,0.02357920869060608,2414040.2032354157,2357441.272783397,0.08357920869060609,False,0.08357920869060609,0.021779878420377083,0.021513868896642085,0.02204588794411208,True,False,True,Grow,10094671.418461999,0.3730210793141693
B,60.0,house,667,12265728.55,0.030811503902577815,0.10677219056133516,0.01037887078852521,667.0,0.027770408467393384,340624.2919836688,340333.02069078427,0.08777040846739338,False,0.08777040846739338,0.01900178209394178,0.018214128463104287,0.019789435724779272,True,False,True,Grow,1209400.83503,0.3448456601819652
B,60.0,major_purchase,1785,29851224.19,0.026174530213322167,0.10512535738459455,0.010739010706895057,1785.0,0.02359110408126727,704223.3368195333,681296.6112117223,0.08359110408126727,False,0.08359110408126727,0.021534253303327283,0.021036065310414312,0.022032441296240254,True,False,True,Grow,2943330.7051339997,0.3705299523664025
B,60.0,medical,694,10045024.76,0.03918116152037064,0.10637913865403871,0.011112482118674659,694.0,0.03531398087831006,354729.81229679106,352455.41673228913,0.09531398087831007,False,0.09531398087831007,0.01106515777572864,0.01023839782455327,0.011891917726904011,True,False,True,Grow,990439.4413359999,0.26435251293842443
B,60.0,moving,222,3366311.31,0.04850069038246079,0.1092859534423572,0.010890875938722714,222.0,0.04371367224171191,147153.82926890787,143884.64111595458,0.10371367224171192,False,0.10371367224171192,0.0055722812006452765,0.004139649968823822,0.007004912432466731,True,False,False,Hold / Monitor,331918.29516599997,0.20864382556435368
B,60.0,other,3191,52523004.99,0.031210627606416574,0.10657325559195564,0.010263850257205012,3191.0,0.028130138661663258,1477479.4132959312,1459052.101433993,0.08813013866166326,False,0.08813013866166326,0.01844311693029238,0.01808699805240449,0.01879923580818027,True,False,True,Grow,5178768.292014,0.33917968489140343
B,60.0,renewable_energy,20,390599.52,0.028703286745362894,0.10546661420421011,0.011823571461502789,20.0,0.025870272343595575,10104.915959677708,9910.97671555296,0.08587027234359558,False,0.08587027234359558,0.019596341860614527,0.014414528412551933,0.02477815530867712,False,False,False,Hold / Monitor,38513.112671999996,0.3508756780995389
B,60.0,small_business,565,11298817.18,0.03819433596857492,0.10575871423574676,0.009946088459376876,565.0,0.034424555008476576,388956.7535436302,381834.8152102804,0.09442455500847659,False,0.09442455500847659,0.011334159227270171,0.010514041528153703,0.01215427692638664,True,False,True,Grow,1114063.373948,0.26708072238610725
B,60.0,vacation,108,1506385.21,0.041684304485363956,0.10590905867182462,0.011478350503765628,108.0,0.03757006363265853,56594.98819499568,57613.846663373246,0.09757006363265854,False,0.09757006363265854,0.008338995039166089,0.0061742054257015455,0.010503784652630632,True,False,True,Grow,148529.581706,0.23670380364265806
C,36.0,car,1715,7700336.73,0.059830073323174256,0.14408498915522458,0.012627769057549587,1715.0,0.053924845086176953,415239.4652766484,427534.9397658799,0.11392484508617697,False,0.11392484508617697,0.030160144069047615,0.029562499937284423,0.030757788200810807,True,False,True,Grow,822395.9627639999,0.42284779090868563
C,36.0,credit_card,28070,216534475.86,0.060218674714891236,0.14296421001117512,0.012612385122393278,28070.0,0.05427509152053147,11752428.494651813,12045902.107865945,0.11427509152053147,False,0.11427509152053147,0.02868911849064365,0.028541573622615196,0.028836663358672104,True,False,True,Grow,23125882.021848,0.4090741431708207
C,36.0,debt_consolidation,78442,606528474.73,0.07345190219610347,0.14381336029679118,0.012756206674696017,78442.0,0.06620219944934805,40153519.05578432,41553276.64793569,0.12620219944934807,False,0.12620219944934807,0.017611160847443103,0.017521892949350887,0.017700428745535318,True,False,True,Grow,64777241.101164,0.30534794800976706
C,36.0,home_improvement,9112,59732892.54,0.061821886375853674,0.1436435338893001,0.012716471384674103,9112.0,0.055720066190556916,3328320.7260822235,3447455.0630630977,0.11572006619055693,False,0.11572006619055693,0.027923467698743168,0.027662367108365435,0.0281845682891209,True,False,True,Grow,6379472.923272,0.40190512826538566
C,36.0,house,1019,8626941.04,0.07870718753509114,0.1452983680779099,0.0125619948383952,1019.0,0.07093878812537764,611984.742606685,616502.0727371887,0.13093878812537763,False,0.13093878812537763,0.014359579952532286,0.013588286562227575,0.015130873342836998,True,False,True,Grow,921357.3030719998,0.2749024340124745
C,36.0,major_purchase,3579,19765994.65,0.06826451434143177,0.14372134042693616,0.012865993040203206,3579.0,0.061526806775932454,1216138.5335646644,1262366.0545177727,0.12152680677593246,False,0.12152680677593246,0.022194533651003698,0.021773021058064765,0.02261604624394263,True,False,True,Grow,2111008.2286199997,0.34826342369853647
C,36.0,medical,2486,10157413.27,0.08080702341135197,0.1436187757922005,0.012848881865222853,2486.0,0.07283137020065153,739778.3261483804,757742.6593499611,0.13283137020065156,False,0.13283137020065156,0.010787405591548949,0.010282322459340687,0.01129248872375721,True,False,True,Grow,1084811.737236,0.24145510853510274
C,36.0,moving,1487,5911753.24,0.09546917112874337,0.1447254629894801,0.012922961920348273,1487.0,0.0860463639383364,508684.8708026794,538102.0673854689,0.14604636393833642,False,0.14604636393833642,-0.0013209009488563128,-0.001977733506145135,-0.0006640683915674905,True,False,False,Hold / Monitor,631375.2460319999,0.12808145178973498
C,36.0,other,13513,63044454.73,0.07175218978618289,0.1439922638875605,0.01268566171346476,13513.0,0.06467024865428664,4077100.563663017,4242679.060275871,0.12467024865428665,False,0.12467024865428665,0.019322015233273857,0.01910812777056102,0.019535902695986693,True,False,True,Grow,6733147.765163999,0.3213671838321523
C,36.0,renewable_energy,134,632809.95,0.09507057070292817,0.14610782229850156,0.012709417272148972,134.0,0.08568710537454916,54223.65286771318,58016.7947949141,0.14568710537454915,False,0.14568710537454915,0.00042071692395240223,-0.00173117933435607,0.0025726131822608744,True,False,False,Hold / Monitor,67584.10265999999,0.14438873524300008
C,36.0,small_business,1830,14688368.49,0.10336460387012442,0.14444996637288185,0.012577863938521687,1830.0,0.09316251746814314,1368405.3860281482,1442390.7187129809,0.15316251746814313,False,0.15316251746814313,-0.008712551095261284,-0.009288825643018611,-0.008136276547503957,True,True,False,Reprice,1568717.754732,0.05887124442639244
C,36.0,vacation,1758,5245912.6,0.0708995875567004,0.1438512629615537,0.012718460001656284,1758.0,0.06390179826485407,335223.2486802561,339079.8407029054,0.12390179826485408,False,0.12390179826485408,0.01994946469669963,0.019354935504191137,0.02054399388920812,True,False,True,Grow,560263.4656799999,0.3272421788080492
C,36.0,wedding,1,1769.75,0.044244658519097,0.1407,,1.0,0.03987771072326213,70.57357855249315,70.57357855249315,0.09987771072326214,False,0.09987771072326214,0.04082228927673785,,,False,False,False,Hold / Monitor,189.0093,0.5226806112054108
C,60.0,car,868,10217141.08,0.053999115869533834,0.1422896126125356,0.012943465425831984,868.0,0.048669403133210845,497262.15809140925,493821.71510692616,0.10866940313321084,False,0.10866940313321084,0.033620209479324745,0.032759138809390506,0.03448128014925898,True,False,True,Grow,1091190.667344,0.4552454071097823
C,60.0,credit_card,28563,399962567.52,0.04078063368776328,0.14176769621263746,0.012426986844179356,28563.0,0.036755585142781044,14700858.204406671,14799036.151500752,0.09675558514278106,False,0.09675558514278106,0.045012111069856406,0.044867995129567476,0.045156227010145336,True,False,True,Grow,42716002.211136,0.5619111523394795
C,60.0,debt_consolidation,76731,1146707940.57,0.04738983821757599,0.14328871912820057,0.012322835861116283,76731.0,0.04271246118550124,48978718.40270218,48742309.47819769,0.10271246118550124,False,0.10271246118550124,0.040576257942699326,0.04048906660801675,0.0406634492773819,True,False,True,Grow,122468408.05287598,0.5203769470290198
C,60.0,home_improvement,8147,119059027.58,0.04709989220525852,0.14247064522205993,0.012355283279491593,8147.0,0.042451132844599504,5054190.596147416,5046319.664277989,0.10245113284459952,False,0.10245113284459952,0.04001951237746042,0.039751223949864536,0.0402878008050563,True,False,True,Grow,12715504.145543998,0.5151639735717266
C,60.0,house,739,12834118.6,0.05604270073066083,0.14359059900479418,0.012832497307771324,739.0,0.050511286168544604,648267.8373256411,643219.4622654016,0.11051128616854461,False,0.11051128616854461,0.03307931283624957,0.03215410979081523,0.034004515881683905,True,False,True,Grow,1370683.8664799999,0.4501808318000895
C,60.0,major_purchase,2249,33956302.16,0.049306122325242153,0.14209023666146076,0.012285319778636648,2249.0,0.04443960805174075,1509004.7588768776,1492022.509150529,0.10443960805174075,False,0.10443960805174075,0.03765062860972,0.03714289042186726,0.03815836679757274,True,False,True,Grow,3626533.0706879995,0.492983413948689
C,60.0,medical,960,12952211.44,0.07208276221610903,0.14360137819531202,0.012383420285822557,960.0,0.06496819358537907,841481.7801926814,831237.3739310098,0.12496819358537907,False,0.12496819358537907,0.01863318460993295,0.01784983958892343,0.019416529630942467,True,False,True,Grow,1383296.1817919998,0.3149174588945031
C,60.0,moving,380,5308060.03,0.08729700730968798,0.1438541997861086,0.012622564277531924,380.0,0.07868079268822177,417642.37079706625,409560.1360820258,0.13868079268822175,False,0.13868079268822175,0.005173407097886856,0.003904283604495379,0.006442530591278334,True,False,False,Hold / Monitor,566900.811204,0.1888895795682286
C,60.0,other,4808,69015606.84,0.057389224510911024,0.1439047707582995,0.012451429731199476,4808.0,0.05172490805168411,3569825.917930181,3545147.237137079,0.11172490805168411,False,0.11172490805168411,0.03217986270661538,0.03182790937263916,0.032531816040591605,True,False,True,Grow,7370866.810512,0.4417590141068856
C,60.0,renewable_energy,34,488707.93,0.06214259313529981,0.14078282235914186,0.011608875453928042,34.0,0.056009119192845715,27372.1007018589,26917.71254477121,0.11600911919284572,False,0.11600911919284572,0.024773703166296138,0.020871599667410437,0.02867580666518184,True,False,True,Grow,52194.006923999994,0.3724129509952824
C,60.0,small_business,890,15702246.57,0.07287000804885652,0.14449857730834556,0.012422863440649037,890.0,0.06567773825443438,1031288.04023105,1025733.1044585316,0.1256777382544344,False,0.1256777382544344,0.01882083905391116,0.018004680007191326,0.019636998100630992,True,False,True,Grow,1676999.933676,0.31667452297669646
C,60.0,vacation,213,2422636.5,0.07422342469016413,0.14383528201448334,0.013409799910308565,213.0,0.06689757267324493,162068.50131960574,159143.34653214962,0.12689757267324492,False,0.12689757267324492,0.01693770934123842,0.015136846707200419,0.018738571975276425,True,False,True,Grow,258737.5782,0.2990422222962398
C,60.0,wedding,2,22446.19,0.05879003247448413,0.14477241379310343,0.006788225099390835,2.0,0.052987456269252546,1189.3665110363338,1229.7947397102505,0.11298745626925255,False,0.11298745626925255,0.03178495752385088,0.022377130398058664,0.0411927846496431,False,False,False,Hold / Monitor,2397.2530919999995,0.4380614000360572
D,36.0,car,795,3598150.22,0.08663271282551761,0.19183855877543798,0.015212319324182174,795.0,0.07808206406963902,280950.9960102258,281569.3860978129,0.13808206406963902,False,0.13808206406963902,0.05375649470579896,0.052699044417687774,0.05481394499391015,True,False,True,Grow,422782.65085,0.5851616570706295
D,36.0,credit_card,8143,68409797.96,0.09090596097015663,0.18893618492344594,0.01465645131039206,8143.0,0.08193354262240217,5605057.09694558,5720869.979858366,0.14193354262240215,False,0.14193354262240215,0.047002642301043784,0.04668430707193719,0.04732097753015038,True,False,True,Grow,8038151.260299998,0.5276820621365429
D,36.0,debt_consolidation,31273,262133055.23,0.11520445897334235,0.1900373612486378,0.01520557173489598,31273.0,0.10383377887267346,27218265.691970117,28079961.10293097,0.16383377887267347,False,0.16383377887267347,0.02620358237596432,0.026035056701854853,0.026372108050073784,True,False,True,Grow,30800633.989524998,0.35066878617842
D,36.0,educational,1,3953.12,0.0865646337964889,0.2145,,1.0,0.07802070444077545,308.42520713891827,308.42520713891827,0.13802070444077547,False,0.13802070444077547,0.07647929555922453,,,False,False,False,Hold / Monitor,464.49159999999995,0.7785471962487195
D,36.0,home_improvement,3843,27644221.66,0.09136993112863176,0.1899418808724614,0.015381506156414588,3843.0,0.0823517189262358,2276549.1720788796,2289575.433137839,0.14235171892623583,False,0.14235171892623583,0.04759016194622556,0.04710385355603999,0.04807647033641113,True,False,True,Grow,3248196.04505,0.5326822293295795
D,36.0,house,668,5224672.09,0.11910626901521232,0.19189989767228052,0.014799991321954623,668.0,0.10735048026341086,560871.0580803385,566344.2816782254,0.16735048026341087,False,0.16735048026341087,0.02454941740886965,0.023427085473990555,0.025671749343748745,True,False,True,Grow,613898.9705749999,0.33659078645846535
D,36.0,major_purchase,1670,10557349.99,0.10429657009015551,0.19110222864734855,0.015161139153905849,1670.0,0.09400249862225717,992417.2778896617,991877.9559237588,0.15400249862225718,False,0.15400249862225718,0.03709973002509137,0.03637258390809009,0.03782687614209265,True,False,True,Grow,1240488.623825,0.4434019576603521
D,36.0,medical,1295,5871555.7700000005,0.11153353093759684,0.1910447809564589,0.015483072062210725,1295.0,0.10052517143405602,590239.1503638709,590189.926175165,0.16052517143405604,False,0.16052517143405604,0.030519609522402874,0.029676332354207607,0.03136288669059814,True,False,True,Grow,689907.802975,0.3874009321055563
D,36.0,moving,774,2952397.62,0.10910790557616401,0.19258019900341433,0.01546657631426224,774.0,0.09833895529579662,290335.69756859634,291140.8468512185,0.1583389552957966,False,0.1583389552957966,0.03424124370761772,0.03315163190345094,0.0353308555117845,True,False,True,Grow,346906.72035,0.4190744145329167
D,36.0,other,7206,35460472.39,0.10380304150265232,0.19151022101274673,0.015578118267814757,7206.0,0.09355768130634054,3317599.574835908,3410187.7971515935,0.15355768130634057,False,0.15355768130634057,0.03795253970640616,0.03759285998035722,0.03831221943245511,True,False,True,Grow,4166605.505825,0.4506599123949462
